headword,pet_dict,pet_old,pet_new,mw_old,mw_new,in_pwgissues
vraj,pwg,"<ls n=""ŚAT. BR."">7,5,2,41. 11,5,1,4. 6,1,2.</ls> {#grAmAntaram#}","<ls n=""ŚAT. BR."">7,5,2,41.</ls> <ls n=""ŚAT. BR."">11,5,1,4.</ls> <ls n=""ŚAT. BR. 11,"">6,1,2…","(Dhātup. viii, 79 )","(Dhātup. vii, 79 )",False
vyAla,pwg,"<ls>Spr. (II) 2655.</ls> <ls n=""Spr."">(I) 2460.</ls> <ls n=""Spr. (I)"">2609.</ls> <ls n=""Sp…","<ls>Spr. (II) 2655.</ls> <ls n=""Spr."">(I) 2460.</ls> <ls n=""Spr. (I)"">2609.</ls> <ls n=""Sp…",vyAla,vyAla,False
vyaD,pwg,"<ls>VS. 16,24. 62.</ls>","<ls>VS. 16,24.</ls> <ls n=""VS. 16,"">62.</ls>","<s>vyaD</s> ¦ <ab>cl.</ab> 4. <ab>P.</ab> (<ls>Dhātup. xxvi, 72</ls>) <s>vi/Dyati</s> (<la…","<s>vyaD</s> ¦ <ab>cl.</ab> 4. <ab>P.</ab> (<ls>Dhātup. xxvi, 72</ls>) <s>vi/Dyati</s> (<la…",False
vyavahAra,pwg,"<ls n=""SĀH. D."">307,14.fg.</ls> {#mama vyavahAramazwO lokapAlA eva jAnanti#}","<ls n=""SĀH. D."">307,14. fg.</ls> {#mama vyavahAramazwO lokapAlA eva jAnanti#}",with (saha or comp.),with (<s>saha</s> or comp.),False
vyoman,pwg,"<ls n=""KATHĀS. 18,"">186.</ls> <ls n=""KATHĀS."">20,103.</ls> <ls>RĀJA-TAR. 3,81. 4,203.</ls>…","<ls n=""KATHĀS. 18,"">186.</ls> <ls n=""KATHĀS."">20,103.</ls> <ls>RĀJA-TAR. 3,81.</ls> <ls n=…",vyoman m.,vyoman n.,False
yA,pwg,"<ls>MBH. 3,2139</ls> (<ls>N. 3,5</ls>). <ls>R. 1,59,11.</ls> <ls n=""R."">2,91,14</ls> <ls n…","<ls>MBH. 3,2139</ls> (<ls>N. 3,5</ls>). <ls>R. 1,59,11.</ls> <ls n=""R."">2,91,14</ls> <ls n…","<div n=""vp""/> <s>yAyayate</s>, <s>yAyeti</s>, <s>yAyAti</s> <ab>Gr.</ab><info westergaard=…","<div n=""vp""/> <s>yAyAyate</s>, <s>yAyeti</s>, <s>yAyAti</s> <ab>Gr.</ab><info westergaard=…",False
ya,pwg,"<ls n=""ŚAT. BR."">1,4,13. 4,6,6,5.</ls> {#yAm — kAM ca#}","<ls n=""ŚAT. BR. 1,"">1,4,13. 4,6,6,5.</ls> {#yAm — kAM ca#}",$,˘ ¯ ¯,False
yad,pwg,"<ls>RĀJA-TAR. 4,59. 5,441</ls> und überaus häufig bei den Commentatoren.","<ls>RĀJA-TAR. 4,59.</ls> <ls n=""RĀJA-TAR."">5,441</ls> und überaus häufig bei den Commentat…","[accord. to, Pāṇ. iii, 3, 148 after","[accord. to Pāṇ. iii, 3, 148 after",False
yam,pwg,"<ls>MĀRK. P. 77,27. 118,48. 133,20.</ls>","<ls>MĀRK. P. 77,27.</ls> <ls n=""MĀRK. P."">118,48.</ls> <ls n=""MĀRK. P."">133,20.</ls>",AyuDEh,AyuDEH,False
yama,pwg,"<ls>MĀRK. P. 77,7. 106,4.</ls> <ls>Verz. d. Oxf. H. 82,b,41. fg.</ls> ein jüngerer Bruder …","<ls>MĀRK. P. 77,7.</ls> <ls n=""MĀRK. P."">106,4.</ls> <ls>Verz. d. Oxf. H. 82,b,41. fg.</ls…",self-control forbearance,"self-control, forbearance",False
yavana,pw,¯Ma7lav.,¯MA7LAV.,yavana,yavanI,False
yu,pwg,"<ls>TS. 2,1,4,3. 2,3,2. 6,6,7,3.</ls> {#yadvE jAta idaM sarvamayuvata tasmAdyavizWaH#}","<ls>TS. 2,1,4,3.</ls> <ls n=""TS. 2,"">2,3,2.</ls> <ls n=""TS."">6,6,7,3.</ls> {#yadvE jAta id…",ayaviṣṭa Gr.;,ayāviṣṭa Gr.;,False
yuj,pwg,"<ls>KĀM. NĪTIS. 7,54. 17,60. 19,35.</ls> <ls>SĀH. D. 295. 432.</ls> <ls>Verz. d. Oxf. H. 1…","<ls>KĀM. NĪTIS. 7,54. 17,60. 19,35.</ls> <ls>SĀH. D. 295.</ls> <ls n=""SĀH. D."">432.</ls> <…","<s>yuje</s>, <s>yujmahe</s>, 3. <ab>pl.</ab> <s>yujata</s> <ab>Impv.</ab> <s>yukzva/</s>;","<s>yuje</s>, <s>yujmahe</s>, 3. <ab>pl.</ab> <s>yujata</s>, <ab>Impv.</ab> <s>yukzva/</s>;",False
zWiv,pw,¯SPR.7746.,¯Spr.7746.,"<s>zWiv</s> or <s>zWIv</s> ¦ <ab>cl.</ab> 1. 4.<ab>P.</ab> (<ls>Dhātup. xv, 52</ls>; <ls n…","<s>zWiv</s> or <s>zWIv</s> ¦ <ab>cl.</ab> 1. 4.<ab>P.</ab> (<ls>Dhātup. xv, 52</ls>; <ls n…",False
zaRmuKa,pw,¯SPR.7672.,¯Spr.7672.,"¦ of a <s1>Bodhi-sattva</s1>, <ls>Buddh.</ls><info lex=""inh""/>","¦ of a <s1>Bodhisattva</s1>, <ls>Buddh.</ls><info lex=""inh""/>",False
āp,pw,"7) in der Gramm. in Folge einer Regel Geltung habend , sich aus einer Regal ergebend","7) in der Gramm. in Folge einer Regel Geltung habend , sich aus einer Regel ergebend",āptum) Ā.,"āptum), Ā.",False
ṣaṭcakra,pw,ajñākhya,ājñā,ājñākhya,ājñā,False
